Index	Reagents	Products	Rule	Energy Change
2727_0	['C(C(CO)O)(CC(C(C=O)O)O)=O', 'N']	['O', 'C(CC(C(CN)=O)O)(C(CO)O)=O']	Amadori/Heyns Rearrangement	435.28
2729_0	['C(C(CO)O)(CC(C(C=O)O)O)=O', 'N']	['O', 'C(C(C(CC(C(CO)=O)N)O)O)=O']	Amadori/Heyns Rearrangement	444.0
2731_0	['C(C(C(C(C=O)O)O)O)(CCO)=O', 'N']	['O', 'C(C(C(C(CCO)=O)O)O)(CN)=O']	Amadori/Heyns Rearrangement	316.9
2733_0	['C(C(C(C(C=O)O)O)O)(CCO)=O', 'N']	['O', 'C(C(C(C=O)O)O)(C(CCO)N)=O']	Amadori/Heyns Rearrangement	325.63
2735_0	['C(C(CO)C(C(C(C=O)O)O)O)=O', 'N']	['O', 'C(C(CO)C(C(C(CN)=O)O)O)=O']	Amadori/Heyns Rearrangement	361.51
2737_0	['C(CO)(CO)=O', 'C(CNC)=O']	['O', 'C(C(CO)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	-405.83
2739_0	['C(CO)(CO)=O', 'C(CNCC(O)=O)=O']	['O', 'C(C(CO)N(CC(O)=O)CC=O)=O']	Amadori/Heyns Rearrangement	364.37
2741_0	['C(CO)(CO)=O', 'C(C(C(O)=O)N)(O)=O']	['O', 'C(C(C(O)=O)NC(C=O)CO)(O)=O']	Amadori/Heyns Rearrangement	490.99
2743_0	['C(CO)(CO)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NC(C=O)CO)(O)=O']	Amadori/Heyns Rearrangement	277.06
2745_0	['C(CO)(CO)=O', 'N']	['O', 'C(C(CO)N)=O']	Amadori/Heyns Rearrangement	-152.11
2747_0	['C(CO)(CO)=O', 'C(CN)O']	['O', 'C(C(CO)NCCO)=O']	Amadori/Heyns Rearrangement	-31.69
2749_0	['C(CO)(CO)=O', 'C(C(C(CN)O)O)O']	['O', 'C(C(CO)NCC(C(CO)O)O)=O']	Amadori/Heyns Rearrangement	304.85
2751_0	['C(CC(CO)=O)=O', 'C(CNC)=O']	['O', 'C(CN(C)C(C=O)CC=O)=O']	Amadori/Heyns Rearrangement	-246.09
2753_0	['C(CC(CO)=O)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NC(C=O)CC=O)(O)=O']	Amadori/Heyns Rearrangement	166.76
2755_0	['C(CC(CO)=O)=O', 'N']	['O', 'C(CC(C=O)N)=O']	Amadori/Heyns Rearrangement	-75.19
2757_0	['C(CC(CO)=O)=O', 'C(CN)O']	['O', 'C(CC(C=O)NCCO)=O']	Amadori/Heyns Rearrangement	-378.98
2759_0	['C(C(C(C)=O)O)=O', 'C(CNC)=O']	['O', 'C(CN(C)CC(C(C)=O)=O)=O']	Amadori/Heyns Rearrangement	-59.32
2761_0	['C(C(C(C)=O)O)=O', 'C(CNC)=O']	['O', 'C(CN(C)C(C(C=O)=O)C)=O']	Amadori/Heyns Rearrangement	-105.9
2763_0	['C(C(C(C)=O)O)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NCC(C(C)=O)=O)(O)=O']	Amadori/Heyns Rearrangement	296.78
2765_0	['C(C(C(C)=O)O)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NC(C(C=O)=O)C)(O)=O']	Amadori/Heyns Rearrangement	323.18
2767_0	['C(C(C(C)=O)O)=O', 'N']	['O', 'C(C(CN)=O)(C)=O']	Amadori/Heyns Rearrangement	-164.94
2769_0	['C(C(C(C)=O)O)=O', 'N']	['O', 'C(C(C(C)N)=O)=O']	Amadori/Heyns Rearrangement	-235.1
2771_0	['C(C(C(C)=O)O)=O', 'C(CN)O']	['O', 'C(C(CNCCO)=O)(C)=O']	Amadori/Heyns Rearrangement	-179.12
2773_0	['C(C(C(C)=O)O)=O', 'C(CN)O']	['O', 'C(C(C(C)NCCO)=O)=O']	Amadori/Heyns Rearrangement	104.92
2775_0	['C(C)(C(CO)O)=O', 'C(CNC)=O']	['O', 'C(CN(C)C(C(CO)=O)C)=O']	Amadori/Heyns Rearrangement	-298.72
2777_0	['C(C)(C(CO)O)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NC(C(CO)=O)C)(O)=O']	Amadori/Heyns Rearrangement	-163.82
2779_0	['C(C)(C(CO)O)=O', 'N']	['O', 'C(CO)(C(C)N)=O']	Amadori/Heyns Rearrangement	-425.59
2781_0	['C(C)(C(CO)O)=O', 'C(CN)O']	['O', 'C(CO)(C(C)NCCO)=O']	Amadori/Heyns Rearrangement	121.73
2783_0	['C(C(CC(CO)=O)O)=O', 'C(CNC)=O']	['O', 'C(CN(C)CC(CC(CO)=O)=O)=O']	Amadori/Heyns Rearrangement	55.42
2785_0	['C(C(CC(CO)=O)O)=O', 'C(CNC)=O']	['O', 'C(C(CC(C=O)O)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	-220.61
2787_0	['C(C(CC(CO)=O)O)=O', 'N']	['O', 'C(CO)(CC(CN)=O)=O']	Amadori/Heyns Rearrangement	218.9
2789_0	['C(C(CC(CO)=O)O)=O', 'N']	['O', 'C(C(CC(C=O)O)N)=O']	Amadori/Heyns Rearrangement	-89.77
2791_0	['C(C(CC(CO)=O)O)=O', 'C(CN)O']	['O', 'C(CNCCO)(CC(CO)=O)=O']	Amadori/Heyns Rearrangement	-3.98
2793_0	['C(C(CC(CO)=O)O)=O', 'C(CN)O']	['O', 'C(C(CC(C=O)O)NCCO)=O']	Amadori/Heyns Rearrangement	-238.22
2795_0	['C(CO)(CCO)=O', 'C(CNC)=O']	['O', 'C(C(CCO)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	-435.96
2797_0	['C(CO)(CCO)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NC(C=O)CCO)(O)=O']	Amadori/Heyns Rearrangement	136.12
2798_0	['C(CO)(CCO)=O', 'N']	['O', 'C(C(CCO)N)=O']	Amadori/Heyns Rearrangement	-430.64
2800_0	['C(CO)(CCO)=O', 'C(CN)O']	['O', 'C(C(CCO)NCCO)=O']	Amadori/Heyns Rearrangement	243.53
2802_0	['C(C(C(C(C)=O)O)O)=O', 'C(CNC)=O']	['O', 'C(C)(C(C(CN(C)CC=O)=O)O)=O']	Amadori/Heyns Rearrangement	-30.69
2804_0	['C(C(C(C(C)=O)O)O)=O', 'C(CNC)=O']	['O', 'C(C(C)N(C)CC=O)(C(C=O)O)=O']	Amadori/Heyns Rearrangement	186.0
2806_0	['C(C(C(C(C)=O)O)O)=O', 'N']	['O', 'C(C)(C(C(CN)=O)O)=O']	Amadori/Heyns Rearrangement	-166.62
2808_0	['C(C(C(C(C)=O)O)O)=O', 'N']	['O', 'C(C(C(C(C)N)=O)O)=O']	Amadori/Heyns Rearrangement	96.07
2810_0	['C(C(C(C(C)=O)O)O)=O', 'C(CN)O']	['O', 'C(C)(C(C(CNCCO)=O)O)=O']	Amadori/Heyns Rearrangement	-207.72
2812_0	['C(C(C(C(C)=O)O)O)=O', 'C(CN)O']	['O', 'C(C(C(C(C)NCCO)=O)O)=O']	Amadori/Heyns Rearrangement	235.4
2814_0	['C(C(C=O)O)=O', 'C(CNC)=O']	['O', 'C(CN(C)CC(C=O)=O)=O']	Amadori/Heyns Rearrangement	-32.19
2816_0	['C(C(C=O)O)=O', 'C(CNCC(O)=O)=O']	['O', 'C(CN(CC(O)=O)CC(C=O)=O)=O']	Amadori/Heyns Rearrangement	225.83
2818_0	['C(C(C=O)O)=O', 'C(C(C(O)=O)N)(O)=O']	['O', 'C(C(C(O)=O)NCC(C=O)=O)(O)=O']	Amadori/Heyns Rearrangement	533.53
2820_0	['C(C(C=O)O)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NCC(C=O)=O)(O)=O']	Amadori/Heyns Rearrangement	209.44
2822_0	['C(C(C=O)O)=O', 'N']	['O', 'C(C(CN)=O)=O']	Amadori/Heyns Rearrangement	14.85
2824_0	['C(C(C=O)O)=O', 'C(CN)O']	['O', 'C(C(CNCCO)=O)=O']	Amadori/Heyns Rearrangement	-208.03
2826_0	['C(C(C=O)O)=O', 'C(C(C(CN)O)O)O']	['O', 'C(C(CNCC(C(CO)O)O)=O)=O']	Amadori/Heyns Rearrangement	-149.45
2828_0	['C(C)(CO)=O', 'C(CNC)=O']	['O', 'C(C(C)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	-493.59
2830_0	['C(C)(CO)=O', 'C(CNC)(C(CO)O)=O']	['O', 'C(C(C)N(C)CC(C(CO)O)=O)=O']	Amadori/Heyns Rearrangement	239.05
2832_0	['C(C)(CO)=O', 'C(CNCC(O)=O)=O']	['O', 'C(C(C)N(CC=O)CC(O)=O)=O']	Amadori/Heyns Rearrangement	158.23
2834_0	['C(C)(CO)=O', 'C(C(C(CO)O)N)(O)=O']	['O', 'C(C(C(CO)O)NC(C=O)C)(O)=O']	Amadori/Heyns Rearrangement	71.76
2836_0	['C(C)(CO)=O', 'C(C(C(O)=O)N)(O)=O']	['O', 'C(C(C)NC(C(O)=O)C(O)=O)=O']	Amadori/Heyns Rearrangement	263.86
2838_0	['C(C)(CO)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NC(C=O)C)(O)=O']	Amadori/Heyns Rearrangement	83.73
2840_0	['C(C)(CO)=O', 'N']	['O', 'C(C(C)N)=O']	Amadori/Heyns Rearrangement	-319.04
2842_0	['C(C)(CO)=O', 'C(C(C(CO)NC)O)=O']	['O', 'C(C(C)N(C)C(CO)C(C=O)O)=O']	Amadori/Heyns Rearrangement	24.86
2844_0	['C(C)(CO)=O', 'C(CN)O']	['O', 'C(C(C)NCCO)=O']	Amadori/Heyns Rearrangement	-333.22
2846_0	['C(C)(CO)=O', 'C(C(C(CN)O)O)O']	['O', 'C(C(C)NCC(C(CO)O)O)=O']	Amadori/Heyns Rearrangement	-17.59
2848_0	['C(CC(C=O)O)=O', 'C(CNC)=O']	['O', 'C(CC(CN(C)CC=O)=O)=O']	Amadori/Heyns Rearrangement	-445.87
2850_0	['C(CC(C=O)O)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(CO)NCC(CC=O)=O)(O)=O']	Amadori/Heyns Rearrangement	-51.93
2852_0	['C(CC(C=O)O)=O', 'N']	['O', 'C(CC(CN)=O)=O']	Amadori/Heyns Rearrangement	-328.46
2854_0	['C(CC(C=O)O)=O', 'C(CN)O']	['O', 'C(CC(CNCCO)=O)=O']	Amadori/Heyns Rearrangement	-188.51
2856_0	['C(C(C(C=O)O)O)=O', 'C(CNC)=O']	['O', 'C(C(C(CN(C)CC=O)=O)O)=O']	Amadori/Heyns Rearrangement	-97.7
2858_0	['C(C(C(C=O)O)O)=O', 'N']	['O', 'C(C(C(CN)=O)O)=O']	Amadori/Heyns Rearrangement	-159.79
2860_0	['C(C(C(C=O)O)O)=O', 'C(CN)O']	['O', 'C(C(C(CNCCO)=O)O)=O']	Amadori/Heyns Rearrangement	-30.02
2862_0	['C(C(CO)=O)=O', 'C(CNC)=O']	['O', 'C(C(C=O)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	-273.89
2864_0	['C(C(CO)=O)=O', 'C(CNCC(O)=O)=O']	['O', 'C(C(C=O)N(CC(O)=O)CC=O)=O']	Amadori/Heyns Rearrangement	61.91
2866_0	['C(C(CO)=O)=O', 'C(C(C(O)=O)N)(O)=O']	['O', 'C(C(C=O)NC(C(O)=O)C(O)=O)=O']	Amadori/Heyns Rearrangement	308.91
2868_0	['C(C(CO)=O)=O', 'C(C(CO)N)(O)=O']	['O', 'C(C(C=O)NC(C(O)=O)CO)=O']	Amadori/Heyns Rearrangement	156.35
2870_0	['C(C(CO)=O)=O', 'N']	['O', 'C(C(C=O)N)=O']	Amadori/Heyns Rearrangement	-285.55
2872_0	['C(C(CO)=O)=O', 'C(CN)O']	['O', 'C(C(C=O)NCCO)=O']	Amadori/Heyns Rearrangement	-181.35
2874_0	['C(C(CO)=O)=O', 'C(C(C(CN)O)O)O']	['O', 'C(C(C=O)NCC(C(CO)O)O)=O']	Amadori/Heyns Rearrangement	129.55
2876_0	['C(CO)(C(CO)O)=O', 'C(CNC)=O']	['O', 'C(C(C(CO)O)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	-45.62
2878_0	['C(CO)(C(CO)O)=O', 'C(CNC)=O']	['O', 'C(CN(C)C(C(CO)=O)CO)=O']	Amadori/Heyns Rearrangement	-45.62
2878_1	['C(CO)(C(CO)O)=O', 'C(CNC)=O']	['O', 'C(CN(C)C(C(CO)=O)CO)=O']	Amadori Rearrangement	-45.62
2880_0	['C(CO)(C(CO)O)=O', 'N']	['O', 'C(C(C(CO)O)N)=O']	Amadori/Heyns Rearrangement	-119.15
2882_0	['C(CO)(C(CO)O)=O', 'N']	['O', 'C(CO)(C(CO)N)=O']	Amadori/Heyns Rearrangement	-121.15
2882_1	['C(CO)(C(CO)O)=O', 'N']	['O', 'C(CO)(C(CO)N)=O']	Amadori Rearrangement	-121.15
2884_0	['C(CO)(C(CO)O)=O', 'C(CN)O']	['O', 'C(C(C(CO)O)NCCO)=O']	Amadori/Heyns Rearrangement	-14.96
2886_0	['C(CO)(C(CO)O)=O', 'C(CN)O']	['O', 'C(CO)(C(CO)NCCO)=O']	Amadori/Heyns Rearrangement	-21.68
2886_1	['C(CO)(C(CO)O)=O', 'C(CN)O']	['O', 'C(CO)(C(CO)NCCO)=O']	Amadori Rearrangement	-21.68
2888_0	['C(C(C(CO)O)O)(C(CO)O)=O', 'N']	['O', 'C(CO)(C(C(C(CO)O)O)N)=O']	Amadori/Heyns Rearrangement	180.79
2890_0	['C(C(C(CO)O)O)(C(CO)O)=O', 'N']	['O', 'C(C(CO)O)(C(C(CO)O)N)=O']	Amadori/Heyns Rearrangement	210.7
2890_1	['C(C(C(CO)O)O)(C(CO)O)=O', 'N']	['O', 'C(C(CO)O)(C(C(CO)O)N)=O']	Amadori Rearrangement	210.7
2892_0	['C(CC(C(C(CO)O)=O)O)=O', 'N']	['O', 'C(CC(C(C(CO)O)N)=O)=O']	Amadori/Heyns Rearrangement	9.57
2894_0	['C(CC(C(C(CO)O)=O)O)=O', 'N']	['O', 'C(CC(C(C(CO)=O)N)O)=O']	Amadori/Heyns Rearrangement	-18.0
2896_0	['C(C(CO)=O)(CC(CO)O)=O', 'N']	['O', 'C(C(C(CC(CO)O)=O)N)=O']	Amadori/Heyns Rearrangement	-22.73
2897_0	['C(C(C(CC(CO)O)O)=O)=O', 'N']	['O', 'C(C(C(CC(CO)O)=O)N)=O']	Amadori/Heyns Rearrangement	-24.73
2899_0	['C(C(CO)O)(CC(CO)=O)=O', 'N']	['O', 'C(CC(C=O)N)(C(CO)O)=O']	Amadori/Heyns Rearrangement	13.58
2901_0	['C(C(CO)O)(CC(CO)=O)=O', 'N']	['O', 'C(CO)(C(CC(CO)=O)N)=O']	Amadori/Heyns Rearrangement	13.58
2903_0	['C(C(CC(C(CO)=O)O)O)=O', 'N']	['O', 'C(CO)(C(CC(CN)=O)O)=O']	Amadori/Heyns Rearrangement	-9.61
2905_0	['C(C(CC(C(CO)=O)O)O)=O', 'N']	['O', 'C(CC(C=O)O)(C(CO)N)=O']	Amadori/Heyns Rearrangement	-11.61
2907_0	['C(C(CC(C(CO)=O)O)O)=O', 'N']	['O', 'C(C(C(CC(C=O)O)O)N)=O']	Amadori/Heyns Rearrangement	-153.25
2909_0	['C(CCO)(C(C(CO)=O)O)=O', 'N']	['O', 'C(C(C(C(CCO)=O)O)N)=O']	Amadori/Heyns Rearrangement	-142.52
2911_0	['C(CCO)(C(C(CO)=O)O)=O', 'N']	['O', 'C(C(C(CO)N)=O)(CCO)=O']	Amadori/Heyns Rearrangement	-142.52
2913_0	['C(CCO)(C(C(CO)=O)O)=O', 'N']	['O', 'C(C(CO)=O)(C(CCO)N)=O']	Amadori/Heyns Rearrangement	231.25
2915_0	['C(C(C(C(CCO)O)=O)O)=O', 'N']	['O', 'C(C(CN)=O)(C(CCO)O)=O']	Amadori/Heyns Rearrangement	152.38
2917_0	['C(C(C(C(CCO)O)=O)O)=O', 'N']	['O', 'C(C(C(C(CCO)O)N)=O)=O']	Amadori/Heyns Rearrangement	137.81
2919_0	['C(C(C(C(CCO)O)=O)O)=O', 'N']	['O', 'C(C(C(C=O)O)N)(CCO)=O']	Amadori/Heyns Rearrangement	144.2
2921_0	['C(CO)(C(CC(CO)=O)O)=O', 'N']	['O', 'C(C(C(CC(CO)=O)O)N)=O']	Amadori/Heyns Rearrangement	147.99
2923_0	['C(CO)(C(CC(CO)=O)O)=O', 'N']	['O', 'C(C(CO)N)(CC(CO)=O)=O']	Amadori/Heyns Rearrangement	139.81
2925_0	['C(CO)(C(CC(CO)=O)O)=O', 'N']	['O', 'C(C(CC(C(CO)=O)O)N)=O']	Amadori/Heyns Rearrangement	146.2
2927_0	['C(C(C(CC(C=O)O)O)O)=O', 'N']	['O', 'C(C(CC(C(CN)=O)O)O)=O']	Amadori/Heyns Rearrangement	127.08
2929_0	['C(C(C(CC(C=O)O)O)O)=O', 'N']	['O', 'C(C(C(CC(CN)=O)O)O)=O']	Amadori/Heyns Rearrangement	143.99
2931_0	['C(C)(C(C(C(CO)=O)O)O)=O', 'N']	['O', 'C(C(C(C(C(C)=O)O)O)N)=O']	Amadori/Heyns Rearrangement	150.05
2933_0	['C(C)(C(C(C(CO)=O)O)O)=O', 'N']	['O', 'C(C(CO)N)(C(C(C)=O)O)=O']	Amadori/Heyns Rearrangement	158.77
2935_0	['C(C)(C(C(C(CO)=O)O)O)=O', 'N']	['O', 'C(C(C)N)(C(C(CO)=O)O)=O']	Amadori/Heyns Rearrangement	135.47
2937_0	['C(C(C(C=O)O)O)(C(C)O)=O', 'N']	['O', 'C(C(C)O)(C(C(CN)=O)O)=O']	Amadori/Heyns Rearrangement	139.86
2939_0	['C(C(C(C=O)O)O)(C(C)O)=O', 'N']	['O', 'C(C(C(C(C(C)O)N)=O)O)=O']	Amadori/Heyns Rearrangement	186.63
2941_0	['C(C(C(C=O)O)O)(C(C)O)=O', 'N']	['O', 'C(C(C(C(C(C)=O)N)O)O)=O']	Amadori/Heyns Rearrangement	192.1
2943_0	['C(CC(C(C(CO)=O)O)O)=O', 'N']	['O', 'C(CC(C(C(C=O)N)O)O)=O']	Amadori/Heyns Rearrangement	190.96
2945_0	['C(CC(C(C(CO)=O)O)O)=O', 'N']	['O', 'C(CC(C(C(CO)N)=O)O)=O']	Amadori/Heyns Rearrangement	137.26
2947_0	['C(C(C(C(C(CO)O)O)=O)O)=O', 'N']	['O', 'C(C(CN)=O)(C(C(CO)O)O)=O']	Amadori/Heyns Rearrangement	306.48
2949_0	['C(C(C(C(C(CO)O)O)=O)O)=O', 'N']	['O', 'C(C(C(C(C(CO)O)O)N)=O)=O']	Amadori/Heyns Rearrangement	342.72
2951_0	['C(C(C(C(C(CO)O)O)=O)O)=O', 'N']	['O', 'C(C(C(C=O)O)N)(C(CO)O)=O']	Amadori/Heyns Rearrangement	353.45
2953_0	['C(CNC)=O', 'C(CNC)(C(CO)O)=O']	['O', 'C(CN(C)C(C(CO)=O)CNC)=O']	Amadori/Heyns Rearrangement	-45.8
2955_0	['C(CNC)=O', 'C(CO)(CCC(C=O)=O)=O']	['O', 'C(C(CCC(C=O)=O)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	78.09
2957_0	['C(CNC)=O', 'C(C)(C(CC(C=O)=O)O)=O']	['O', 'C(C(C)N(C)CC=O)(CC(C=O)=O)=O']	Amadori/Heyns Rearrangement	-47.34
2959_0	['C(CNC)=O', 'C(CC(CC(CO)=O)=O)=O']	['O', 'C(CN(C)C(C=O)CC(CC=O)=O)=O']	Amadori/Heyns Rearrangement	-31.25
2961_0	['C(CNC)=O', 'C(CC(C(C(C)=O)O)=O)=O']	['O', 'C(CN(C)C(C(C(C)=O)=O)CC=O)=O']	Amadori/Heyns Rearrangement	202.13
2963_0	['C(CNC)=O', 'C(CC(C(C(C)=O)O)=O)=O']	['O', 'C(CC(C(C(C)N(C)CC=O)=O)=O)=O']	Amadori/Heyns Rearrangement	86.82
2965_0	['C(CNC)=O', 'C(CC(C(CC=O)O)=O)=O']	['O', 'C(CN(C)C(C(CC=O)=O)CC=O)=O']	Amadori/Heyns Rearrangement	-337.28
2965_1	['C(CNC)=O', 'C(CC(C(CC=O)O)=O)=O']	['O', 'C(CN(C)C(C(CC=O)=O)CC=O)=O']	Amadori Rearrangement	-337.28
2965_2	['C(CNC)=O', 'C(CC(C(CC=O)O)=O)=O']	['O', 'C(CN(C)C(C(CC=O)=O)CC=O)=O']	Mannich Addition	-337.28
2967_0	['C(CNC)=O', 'C(C(C=O)O)(CC(C)=O)=O']	['O', 'C(C)(CC(C(CN(C)CC=O)=O)=O)=O']	Amadori/Heyns Rearrangement	-154.76
2969_0	['C(CNC)=O', 'C(C(C=O)O)(CC(C)=O)=O']	['O', 'C(CC(C(C=O)=O)N(C)CC=O)(C)=O']	Amadori/Heyns Rearrangement	44.36
2971_0	['C(CNC)=O', 'C(C(C(CCC=O)=O)O)=O']	['O', 'C(CN(C)CC(C(CCC=O)=O)=O)=O']	Amadori/Heyns Rearrangement	1.67
2973_0	['C(CNC)=O', 'C(C(C(CCC=O)=O)O)=O']	['O', 'C(CCC(C(C=O)=O)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	1.67
2975_0	['C(CNC)=O', 'C(C(CC(C(C)=O)=O)O)=O']	['O', 'C(CN(C)CC(CC(C(C)=O)=O)=O)=O']	Amadori/Heyns Rearrangement	46.37
2977_0	['C(CNC)=O', 'C(CC(CC(C=O)O)=O)=O']	['O', 'C(CC(CC(CN(C)CC=O)=O)=O)=O']	Amadori/Heyns Rearrangement	37.43
2979_0	['C(CNC)=O', 'C(C(C(C=CCO)=O)O)=O']	['O', 'C(CN(C)CC(C(C=CCO)=O)=O)=O']	Amadori/Heyns Rearrangement	3.67
2981_0	['C(CNC)=O', 'C(C(C(C=CCO)=O)O)=O']	['O', 'C(CN(C)C(C=CCO)C(C=O)=O)=O']	Amadori/Heyns Rearrangement	3.67
2983_0	['C(CNC)=O', 'C(C=CC(C(CO)O)=O)=O']	['O', 'C(CN(C)C(C(CO)=O)C=CC=O)=O']	Amadori/Heyns Rearrangement	-0.61
2985_0	['C(CNC)=O', 'C(C(C(C(C=C)=O)O)O)=O']	['O', 'C(CN(C)CC(C(C(C=C)=O)O)=O)=O']	Amadori/Heyns Rearrangement	-7.47
2987_0	['C(CNC)=O', 'C(C(C(C(C=C)=O)O)O)=O']	['O', 'C(C(C=O)O)(C(C=C)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	-33.04
2989_0	['C(CNC)=O', 'C(C(C=CC(CO)=O)O)=O']	['O', 'C(CN(C)CC(C=CC(CO)=O)=O)=O']	Amadori/Heyns Rearrangement	-34.91
2991_0	['C(CNC)=O', 'C(C(C=CC(CO)=O)O)=O']	['O', 'C(C(C=CC(C=O)O)N(C)CC=O)=O']	Amadori/Heyns Rearrangement	-13.73
2993_0	['C(CNC)=O', 'C(C(C(C=CC=O)O)O)=O']	['O', 'C(CN(C)CC(C(C=CC=O)O)=O)=O']	Amadori/Heyns Rearrangement	-43.3
2995_0	['C(CNC)=O', 'C(C(C(CO)NC)O)=O']	['O', 'C(CN(C)CC=O)(C(CO)NC)=O']	Amadori/Heyns Rearrangement	-60.74
2997_0	['C(CNC)=O', 'C(C(C(CO)O)=O)=O']	['O', 'C(CN(C)C(C=O)C(CO)=O)=O']	Amadori/Heyns Rearrangement	86.53
2999_0	['C(CNC)=O', 'C(C(O)O)=O']	['O', 'C(CN(C)CC(O)=O)=O']	Amadori/Heyns Rearrangement	NaN
3001_0	['C(CNC)(C(CO)O)=O', 'N']	['O', 'C(CO)(C(CNC)N)=O']	Amadori/Heyns Rearrangement	-245.34
3003_0	['C(CNC)(C(CO)O)=O', 'C(CN)O']	['O', 'C(CO)(C(CNC)NCCO)=O']	Amadori/Heyns Rearrangement	-387.14
3005_0	['C(CNC)(C(CO)O)=O', 'C(C(O)O)=O']	['O', 'C(CN(C)CC(O)=O)(C(CO)O)=O']	Amadori/Heyns Rearrangement	NaN
3007_0	['C(C(C(CO)O)O)(C(CO)NC)=O', 'N']	['O', 'C(C(CO)O)(C(C(CO)NC)N)=O']	Amadori/Heyns Rearrangement	9.24
3009_0	['C(CC(C(C(CO)O)=O)NC)=O', 'N']	['O', 'C(CC(C(C(CO)=O)N)NC)=O']	Amadori/Heyns Rearrangement	-225.42
3011_0	['C(C(CO)O)(CC(CNC)=O)=O', 'N']	['O', 'C(CNC)(CC(C(CO)=O)N)=O']	Amadori/Heyns Rearrangement	-221.08
3013_0	['C(C(CC(C(CO)=O)NC)O)=O', 'N']	['O', 'C(CC(C(CO)=O)NC)(CN)=O']	Amadori/Heyns Rearrangement	-232.15
3015_0	['C(C(CC(C(CO)=O)NC)O)=O', 'N']	['O', 'C(C(C(CC(C=O)O)NC)N)=O']	Amadori/Heyns Rearrangement	-403.56
3017_0	['C(CCO)(C(C(CNC)=O)O)=O', 'N']	['O', 'C(C(C(CNC)N)=O)(CCO)=O']	Amadori/Heyns Rearrangement	-394.83
3019_0	['C(CCO)(C(C(CNC)=O)O)=O', 'N']	['O', 'C(C(CNC)=O)(C(CCO)N)=O']	Amadori/Heyns Rearrangement	-394.83
3021_0	['C(C(C(C(CCO)NC)=O)O)=O', 'N']	['O', 'C(C(CN)=O)(C(CCO)NC)=O']	Amadori/Heyns Rearrangement	-403.56
3023_0	['C(C(C(C(CCO)NC)=O)O)=O', 'N']	['O', 'C(C(C(C(CCO)NC)N)=O)=O']	Amadori/Heyns Rearrangement	-401.55
3025_0	['C(CC(C(CNC)=O)O)(CO)=O', 'N']	['O', 'C(C(CNC)N)(CC(CO)=O)=O']	Amadori/Heyns Rearrangement	-399.22
3027_0	['C(CC(C(CNC)=O)O)(CO)=O', 'N']	['O', 'C(C(CC(C(CNC)=O)O)N)=O']	Amadori/Heyns Rearrangement	-401.55
3029_0	['C(C(CC(C(C=O)O)O)NC)=O', 'N']	['O', 'C(C(CC(C(CN)=O)O)NC)=O']	Amadori/Heyns Rearrangement	-538.47
3031_0	['C(C(C(C(CNC)=O)O)O)(C)=O', 'N']	['O', 'C(C(CNC)N)(C(C(C)=O)O)=O']	Amadori/Heyns Rearrangement	-333.09
3033_0	['C(C(C(C(CNC)=O)O)O)(C)=O', 'N']	['O', 'C(C(C)N)(C(C(CNC)=O)O)=O']	Amadori/Heyns Rearrangement	-296.79
3035_0	['C(C(C(C=O)O)O)(C(C)NC)=O', 'N']	['O', 'C(C(C)NC)(C(C(CN)=O)O)=O']	Amadori/Heyns Rearrangement	-314.24
3037_0	['C(C(C(C=O)O)O)(C(C)NC)=O', 'N']	['O', 'C(C(C(C(C(C)NC)N)=O)O)=O']	Amadori/Heyns Rearrangement	-331.09
3039_0	['C(CC(C(C(CNC)=O)O)O)=O', 'N']	['O', 'C(CC(C(C(CNC)N)=O)O)=O']	Amadori/Heyns Rearrangement	-335.14
3041_0	['C(C(C(C(C(CO)O)O)=O)NC)=O', 'N']	['O', 'C(C(C(C=O)NC)N)(C(CO)O)=O']	Amadori/Heyns Rearrangement	-220.75
3043_0	['C(CNCC(O)=O)=O', 'C(C(O)O)=O']	['O', 'C(CN(CC(O)=O)CC(O)=O)=O']	Amadori/Heyns Rearrangement	NaN
3045_0	['C(CNCC(O)=O)(C(CO)O)=O', 'N']	['O', 'C(CO)(C(CNCC(O)=O)N)=O']	Amadori/Heyns Rearrangement	-364.26
3047_0	['C(CNC)(C(C(C(CO)O)O)O)=O', 'N']	['O', 'C(C(C(CO)O)O)(C(CNC)N)=O']	Amadori/Heyns Rearrangement	-409.47
